AGRDE_FLAG_NM,COAW_FLAG_NM,SPORTS_STEP_NM,RECOMEND_MVM_NM
10대,1,마무리운동,정적 스트레칭  루틴프로그램
10대,1,마무리운동,짝 스트레칭  루틴프로그램
10대,2,본운동,줄넘기 운동
10대,2,본운동,맨몸운동  루틴프로그램
10대,2,본운동,버피 테스트
10대,2,본운동,조깅
10대,2,본운동,자전거타기
10대,2,준비운동,정적 스트레칭  루틴프로그램
10대,2,준비운동,양발 벌려 무릎 밀어내기
10대,2,준비운동,목 돌리기
10대,2,준비운동,다리 벌려 옆으로 상체 숙이기
10대,2,준비운동,몸통 비틀기
10대,2,마무리운동,동적 스트레칭 루틴프로그램
10대,2,마무리운동,온 몸 뻗어주기
10대,2,마무리운동,복식호흡
10대,2,마무리운동,정적 스트레칭  루틴프로그램
10대,2,마무리운동,짝 스트레칭  루틴프로그램
10대,3,본운동,줄넘기 운동
10대,3,본운동,맨몸운동  루틴프로그램
10대,3,본운동,버피 테스트
10대,3,본운동,자전거타기
10대,3,본운동,조깅
10대,3,준비운동,정적 스트레칭  루틴프로그램
10대,3,준비운동,양발 벌려 무릎 밀어내기
10대,3,준비운동,목 돌리기
10대,3,준비운동,다리 벌려 옆으로 상체 숙이기
10대,3,준비운동,다리모아 무릎 누르기
10대,3,마무리운동,동적 스트레칭 루틴프로그램
10대,3,마무리운동,복식호흡
10대,3,마무리운동,온 몸 뻗어주기
10대,3,마무리운동,정적 스트레칭  루틴프로그램
10대,3,마무리운동,짝 스트레칭  루틴프로그램
10대,4,본운동,줄넘기 운동
10대,4,본운동,맨몸운동  루틴프로그램
10대,4,본운동,조깅
10대,4,본운동,자전거타기
10대,4,본운동,버피 테스트
10대,4,준비운동,동적 스트레칭 루틴프로그램
10대,4,준비운동,목 돌리기
10대,4,준비운동,정적 스트레칭  루틴프로그램
10대,4,준비운동,양발 벌려 무릎 밀어내기
10대,4,준비운동,다리 벌려 옆으로 상체 숙이기
10대,4,마무리운동,동적 스트레칭 루틴프로그램
10대,4,마무리운동,복식호흡
10대,4,마무리운동,온 몸 뻗어주기
10대,4,마무리운동,모관운동
10대,4,마무리운동,짝 스트레칭  루틴프로그램
10대,1,본운동,맨몸운동  루틴프로그램
10대,1,본운동,줄넘기 운동
10대,1,본운동,조깅
10대,1,본운동,버피 테스트
10대,1,본운동,자전거타기
10대,1,준비운동,동적 스트레칭 루틴프로그램
10대,1,준비운동,목 돌리기
10대,1,준비운동,정적 스트레칭  루틴프로그램
10대,1,준비운동,양발 벌려 무릎 밀어내기
10대,1,준비운동,몸통 비틀기
10대,1,마무리운동,온 몸 뻗어주기
10대,1,마무리운동,동적 스트레칭 루틴프로그램
10대,1,마무리운동,복식호흡
10대,1,마무리운동,짝 스트레칭  루틴프로그램
10대,1,마무리운동,정적 스트레칭  루틴프로그램
10대,2,본운동,맨몸운동  루틴프로그램
10대,2,본운동,줄넘기 운동
10대,2,본운동,조깅
10대,2,본운동,버피 테스트
10대,2,본운동,자전거타기
10대,2,준비운동,동적 스트레칭 루틴프로그램
10대,2,준비운동,목 돌리기
10대,2,준비운동,정적 스트레칭  루틴프로그램
10대,2,준비운동,양발 벌려 무릎 밀어내기
10대,2,준비운동,몸통 비틀기
10대,2,마무리운동,동적 스트레칭 루틴프로그램
10대,2,마무리운동,온 몸 뻗어주기
10대,2,마무리운동,복식호흡
10대,2,마무리운동,짝 스트레칭  루틴프로그램
10대,2,마무리운동,정적 스트레칭  루틴프로그램
10대,3,본운동,맨몸운동  루틴프로그램
10대,3,본운동,줄넘기 운동
10대,3,본운동,조깅
10대,3,본운동,자전거타기
10대,3,본운동,버피 테스트
10대,3,준비운동,동적 스트레칭 루틴프로그램
10대,3,준비운동,목 돌리기
10대,3,준비운동,양발 벌려 무릎 밀어내기
10대,3,준비운동,정적 스트레칭  루틴프로그램
10대,3,준비운동,다리모아 무릎 누르기
10대,3,마무리운동,동적 스트레칭 루틴프로그램
10대,3,마무리운동,온 몸 뻗어주기
10대,3,마무리운동,복식호흡
10대,3,마무리운동,짝 스트레칭  루틴프로그램
10대,3,마무리운동,정적 스트레칭  루틴프로그램
10대,4,본운동,줄넘기 운동
10대,4,본운동,조깅
10대,4,본운동,버피 테스트
10대,4,본운동,맨몸운동  루틴프로그램
10대,4,본운동,자전거타기
10대,4,준비운동,동적 스트레칭 루틴프로그램
10대,4,준비운동,몸통 비틀기
10대,4,준비운동,목 돌리기
10대,4,준비운동,시소우
10대,4,준비운동,정적 스트레칭  루틴프로그램
10대,4,마무리운동,복식호흡
10대,4,마무리운동,정적 스트레칭  루틴프로그램
10대,4,마무리운동,짝 스트레칭  루틴프로그램
10대,4,마무리운동,모관운동
10대,4,마무리운동,온 몸 뻗어주기
10대,1,본운동,줄넘기 운동
10대,1,본운동,맨몸운동  루틴프로그램
10대,1,본운동,버피 테스트
10대,1,본운동,조깅
10대,1,본운동,자전거타기
10대,1,준비운동,몸통 비틀기
10대,1,준비운동,팔 벌려 뛰기
10대,1,준비운동,정적 스트레칭  루틴프로그램
10대,1,준비운동,시소우
10대,1,준비운동,목 돌리기
10대,1,마무리운동,정적 스트레칭  루틴프로그램
10대,1,마무리운동,온 몸 뻗어주기
10대,1,마무리운동,복식호흡
10대,1,마무리운동,짝 스트레칭  루틴프로그램
10대,1,마무리운동,동적 스트레칭 루틴프로그램
10대,2,본운동,줄넘기 운동
10대,2,본운동,맨몸운동  루틴프로그램
10대,2,본운동,버피 테스트
10대,2,본운동,조깅
10대,2,본운동,자전거타기
10대,2,준비운동,몸통 비틀기
10대,2,준비운동,정적 스트레칭  루틴프로그램
10대,2,준비운동,목 돌리기
10대,2,준비운동,팔 벌려 뛰기
10대,2,준비운동,시소우
10대,2,마무리운동,정적 스트레칭  루틴프로그램
10대,2,마무리운동,복식호흡
10대,2,마무리운동,동적 스트레칭 루틴프로그램
10대,2,마무리운동,짝 스트레칭  루틴프로그램
10대,2,마무리운동,온 몸 뻗어주기
10대,3,본운동,줄넘기 운동
10대,3,본운동,버피 테스트
10대,3,본운동,맨몸운동  루틴프로그램
10대,3,본운동,자전거타기
10대,3,본운동,조깅
10대,3,준비운동,몸통 비틀기
10대,3,준비운동,목 돌리기
10대,3,준비운동,시소우
10대,3,준비운동,정적 스트레칭  루틴프로그램
10대,3,준비운동,양발 벌려 무릎 밀어내기
10대,3,마무리운동,정적 스트레칭  루틴프로그램
10대,3,마무리운동,복식호흡
10대,3,마무리운동,짝 스트레칭  루틴프로그램
10대,3,마무리운동,동적 스트레칭 루틴프로그램
10대,3,마무리운동,온 몸 뻗어주기
10대,4,본운동,줄넘기 운동
10대,4,본운동,맨몸운동  루틴프로그램
10대,4,본운동,조깅
10대,4,본운동,자전거타기
10대,4,본운동,버피 테스트
10대,4,준비운동,동적 스트레칭 루틴프로그램
10대,4,준비운동,목 돌리기
10대,4,준비운동,몸통 비틀기
10대,4,준비운동,다리모아 무릎 누르기
10대,4,준비운동,시소우
10대,4,마무리운동,복식호흡
10대,4,마무리운동,온 몸 뻗어주기
10대,4,마무리운동,정적 스트레칭  루틴프로그램
10대,4,마무리운동,모관운동
10대,4,마무리운동,짝 스트레칭  루틴프로그램
10대,1,본운동,맨몸운동  루틴프로그램
10대,1,본운동,조깅
10대,1,본운동,줄넘기 운동
10대,1,본운동,버피 테스트
10대,1,본운동,자전거타기
10대,1,준비운동,동적 스트레칭 루틴프로그램
10대,1,준비운동,몸통 비틀기
10대,1,준비운동,목 돌리기
10대,1,준비운동,시소우
10대,1,준비운동,팔 벌려 뛰기
10대,1,마무리운동,온 몸 뻗어주기
10대,1,마무리운동,정적 스트레칭  루틴프로그램
10대,1,마무리운동,복식호흡
10대,1,마무리운동,짝 스트레칭  루틴프로그램
10대,1,마무리운동,동적 스트레칭 루틴프로그램
10대,2,본운동,맨몸운동  루틴프로그램
10대,2,본운동,조깅
10대,2,본운동,줄넘기 운동
10대,2,본운동,버피 테스트
10대,2,본운동,자전거타기
10대,2,준비운동,동적 스트레칭 루틴프로그램
10대,2,준비운동,몸통 비틀기
10대,2,준비운동,목 돌리기
10대,2,준비운동,양발 벌려 무릎 밀어내기
10대,2,준비운동,정적 스트레칭  루틴프로그램
10대,2,마무리운동,정적 스트레칭  루틴프로그램
10대,2,마무리운동,온 몸 뻗어주기
10대,2,마무리운동,복식호흡
10대,2,마무리운동,동적 스트레칭 루틴프로그램
10대,2,마무리운동,짝 스트레칭  루틴프로그램
10대,3,본운동,맨몸운동  루틴프로그램
10대,3,본운동,조깅
10대,3,본운동,줄넘기 운동
10대,3,본운동,버피 테스트
10대,3,본운동,자전거타기
10대,3,준비운동,동적 스트레칭 루틴프로그램
10대,3,준비운동,목 돌리기
10대,3,준비운동,몸통 비틀기
10대,3,준비운동,양발 벌려 무릎 밀어내기
10대,3,준비운동,시소우
10대,3,마무리운동,복식호흡
10대,3,마무리운동,정적 스트레칭  루틴프로그램
10대,3,마무리운동,온 몸 뻗어주기
10대,3,마무리운동,모관운동
10대,3,마무리운동,짝 스트레칭  루틴프로그램
10대,4,본운동,줄넘기 운동
10대,4,본운동,조깅
10대,4,본운동,버피 테스트
10대,4,본운동,자전거타기
10대,4,본운동,맨몸운동  루틴프로그램
10대,4,준비운동,동적 스트레칭 루틴프로그램
10대,4,준비운동,몸통 비틀기
10대,4,준비운동,목 돌리기
10대,4,준비운동,시소우
10대,4,준비운동,정적 스트레칭  루틴프로그램
10대,4,마무리운동,복식호흡
10대,4,마무리운동,정적 스트레칭  루틴프로그램
10대,4,마무리운동,짝 스트레칭  루틴프로그램
10대,4,마무리운동,온 몸 뻗어주기
10대,4,마무리운동,모관운동
10대,1,본운동,줄넘기 운동
10대,1,본운동,맨몸운동  루틴프로그램
10대,1,본운동,버피 테스트
10대,1,본운동,조깅
10대,1,본운동,자전거타기
10대,1,준비운동,몸통 비틀기
10대,1,준비운동,정적 스트레칭  루틴프로그램
10대,1,준비운동,팔 벌려 뛰기
10대,1,준비운동,목 돌리기
10대,1,준비운동,시소우
10대,1,마무리운동,정적 스트레칭  루틴프로그램
10대,1,마무리운동,온 몸 뻗어주기
10대,1,마무리운동,복식호흡
10대,1,마무리운동,짝 스트레칭  루틴프로그램
10대,1,마무리운동,동적 스트레칭 루틴프로그램
10대,2,본운동,줄넘기 운동
10대,2,본운동,맨몸운동  루틴프로그램
10대,2,본운동,버피 테스트
10대,2,본운동,조깅
10대,2,본운동,자전거타기
10대,2,준비운동,몸통 비틀기
10대,2,준비운동,정적 스트레칭  루틴프로그램
10대,2,준비운동,목 돌리기
10대,2,준비운동,팔 벌려 뛰기
10대,2,준비운동,시소우
10대,2,마무리운동,정적 스트레칭  루틴프로그램
10대,2,마무리운동,복식호흡
10대,2,마무리운동,동적 스트레칭 루틴프로그램
10대,2,마무리운동,짝 스트레칭  루틴프로그램
10대,2,마무리운동,온 몸 뻗어주기
10대,3,본운동,줄넘기 운동
10대,3,본운동,버피 테스트
10대,3,본운동,맨몸운동  루틴프로그램
10대,3,본운동,자전거타기
10대,3,본운동,조깅
10대,3,준비운동,몸통 비틀기
10대,3,준비운동,목 돌리기
10대,3,준비운동,정적 스트레칭  루틴프로그램
10대,3,준비운동,양발 벌려 무릎 밀어내기
10대,3,준비운동,시소우
10대,3,마무리운동,정적 스트레칭  루틴프로그램
10대,3,마무리운동,복식호흡
10대,3,마무리운동,짝 스트레칭  루틴프로그램
10대,3,마무리운동,동적 스트레칭 루틴프로그램
10대,3,마무리운동,온 몸 뻗어주기
10대,4,본운동,줄넘기 운동
10대,4,본운동,맨몸운동  루틴프로그램
10대,4,본운동,조깅
10대,4,본운동,자전거타기
10대,4,본운동,버피 테스트
10대,4,준비운동,동적 스트레칭 루틴프로그램
10대,4,준비운동,목 돌리기
10대,4,준비운동,몸통 비틀기
10대,4,준비운동,시소우
10대,4,준비운동,다리모아 무릎 누르기
10대,4,마무리운동,복식호흡
10대,4,마무리운동,온 몸 뻗어주기
10대,4,마무리운동,정적 스트레칭  루틴프로그램
10대,4,마무리운동,모관운동
10대,4,마무리운동,짝 스트레칭  루틴프로그램
10대,1,본운동,맨몸운동  루틴프로그램
10대,1,본운동,조깅
10대,1,본운동,줄넘기 운동
10대,1,본운동,버피 테스트
10대,1,본운동,자전거타기
10대,1,준비운동,동적 스트레칭 루틴프로그램
10대,1,준비운동,몸통 비틀기
10대,1,준비운동,목 돌리기
10대,1,준비운동,정적 스트레칭  루틴프로그램
10대,1,준비운동,팔 벌려 뛰기
10대,1,마무리운동,온 몸 뻗어주기
10대,1,마무리운동,정적 스트레칭  루틴프로그램
10대,1,마무리운동,복식호흡
10대,1,마무리운동,짝 스트레칭  루틴프로그램
10대,1,마무리운동,동적 스트레칭 루틴프로그램
10대,2,본운동,맨몸운동  루틴프로그램
10대,2,본운동,조깅
10대,2,본운동,줄넘기 운동
10대,2,본운동,버피 테스트
10대,2,본운동,자전거타기
10대,2,준비운동,동적 스트레칭 루틴프로그램
10대,2,준비운동,몸통 비틀기
10대,2,준비운동,목 돌리기
10대,2,준비운동,양발 벌려 무릎 밀어내기
10대,2,준비운동,정적 스트레칭  루틴프로그램
10대,2,마무리운동,정적 스트레칭  루틴프로그램
10대,2,마무리운동,온 몸 뻗어주기
10대,2,마무리운동,복식호흡
10대,2,마무리운동,동적 스트레칭 루틴프로그램
10대,2,마무리운동,짝 스트레칭  루틴프로그램
10대,3,본운동,맨몸운동  루틴프로그램
10대,3,본운동,줄넘기 운동
10대,3,본운동,조깅
10대,3,본운동,버피 테스트
10대,3,본운동,자전거타기
10대,3,준비운동,동적 스트레칭 루틴프로그램
10대,3,준비운동,목 돌리기
10대,3,준비운동,몸통 비틀기
10대,3,준비운동,양발 벌려 무릎 밀어내기
10대,3,준비운동,시소우
10대,3,마무리운동,정적 스트레칭  루틴프로그램
10대,3,마무리운동,복식호흡
10대,3,마무리운동,온 몸 뻗어주기
10대,3,마무리운동,짝 스트레칭  루틴프로그램
10대,3,마무리운동,동적 스트레칭 루틴프로그램
10대,4,본운동,줄넘기 운동
10대,4,본운동,자전거타기
10대,4,본운동,수영
10대,4,본운동,앉았다 일어서기
10대,4,본운동,전완대고 버티기
10대,4,준비운동,동적 스트레칭 루틴프로그램
10대,4,준비운동,몸통 비틀기
10대,4,준비운동,목 돌리기
10대,4,준비운동,시소우
10대,4,준비운동,팔꿈치 원 그리기
10대,4,마무리운동,정적 스트레칭  루틴프로그램
10대,4,마무리운동,복식호흡
10대,4,마무리운동,온 몸 뻗어주기
10대,4,마무리운동,모관운동
10대,4,마무리운동,짝 스트레칭  루틴프로그램
10대,1,본운동,줄넘기 운동
10대,1,본운동,맨몸운동  루틴프로그램
10대,1,본운동,버피 테스트
10대,1,본운동,앉았다 일어서기
10대,1,본운동,전완대고 버티기
10대,1,준비운동,동적 스트레칭 루틴프로그램
10대,1,준비운동,몸통 비틀기
10대,1,준비운동,팔 벌려 뛰기
10대,1,준비운동,정적 스트레칭  루틴프로그램
10대,1,준비운동,목 돌리기
10대,1,마무리운동,정적 스트레칭  루틴프로그램
10대,1,마무리운동,온 몸 뻗어주기
10대,1,마무리운동,복식호흡
10대,1,마무리운동,짝 스트레칭  루틴프로그램
10대,1,마무리운동,동적 스트레칭 루틴프로그램
10대,2,본운동,줄넘기 운동
10대,2,본운동,맨몸운동  루틴프로그램
10대,2,본운동,버피 테스트
10대,2,본운동,자전거타기
10대,2,본운동,전완대고 버티기
10대,2,준비운동,동적 스트레칭 루틴프로그램
10대,2,준비운동,몸통 비틀기
10대,2,준비운동,팔 벌려 뛰기
10대,2,준비운동,정적 스트레칭  루틴프로그램
10대,2,준비운동,목 돌리기
10대,2,마무리운동,정적 스트레칭  루틴프로그램
10대,2,마무리운동,복식호흡
10대,2,마무리운동,온 몸 뻗어주기
10대,2,마무리운동,짝 스트레칭  루틴프로그램
10대,2,마무리운동,동적 스트레칭 루틴프로그램
10대,3,본운동,줄넘기 운동
10대,3,본운동,버피 테스트
10대,3,본운동,자전거타기
10대,3,본운동,전완대고 버티기
10대,3,본운동,맨몸운동  루틴프로그램
10대,3,준비운동,동적 스트레칭 루틴프로그램
10대,3,준비운동,몸통 비틀기
10대,3,준비운동,목 돌리기
10대,3,준비운동,정적 스트레칭  루틴프로그램
10대,3,준비운동,양발 벌려 무릎 밀어내기
10대,3,마무리운동,정적 스트레칭  루틴프로그램
10대,3,마무리운동,복식호흡
10대,3,마무리운동,온 몸 뻗어주기
10대,3,마무리운동,짝 스트레칭  루틴프로그램
10대,3,마무리운동,모관운동
10대,4,본운동,줄넘기 운동
10대,4,본운동,맨몸운동  루틴프로그램
10대,4,본운동,조깅
10대,4,본운동,자전거타기
10대,4,본운동,수영
10대,4,준비운동,동적 스트레칭 루틴프로그램
10대,4,준비운동,목 돌리기
10대,4,준비운동,몸통 비틀기
10대,4,준비운동,팔꿈치 원 그리기
10대,4,준비운동,시소우
10대,4,마무리운동,정적 스트레칭  루틴프로그램
10대,4,마무리운동,복식호흡
10대,4,마무리운동,온 몸 뻗어주기
10대,4,마무리운동,모관운동
10대,4,마무리운동,짝 스트레칭  루틴프로그램
10대,1,본운동,맨몸운동  루틴프로그램
10대,1,본운동,줄넘기 운동
10대,1,본운동,조깅
10대,1,본운동,버피 테스트
10대,1,본운동,앉았다 일어서기
10대,1,준비운동,동적 스트레칭 루틴프로그램
10대,1,준비운동,몸통 비틀기
10대,1,준비운동,목 돌리기
10대,1,준비운동,팔 벌려 뛰기
10대,1,준비운동,정적 스트레칭  루틴프로그램
10대,1,마무리운동,정적 스트레칭  루틴프로그램
10대,1,마무리운동,온 몸 뻗어주기
10대,1,마무리운동,복식호흡
10대,1,마무리운동,짝 스트레칭  루틴프로그램
10대,1,마무리운동,모관운동
10대,2,본운동,맨몸운동  루틴프로그램
10대,2,본운동,조깅
10대,2,본운동,줄넘기 운동
10대,2,본운동,자전거타기
10대,2,본운동,버피 테스트
10대,2,준비운동,동적 스트레칭 루틴프로그램
10대,2,준비운동,몸통 비틀기
10대,2,준비운동,목 돌리기
10대,2,준비운동,양발 벌려 무릎 밀어내기
10대,2,준비운동,팔꿈치 원 그리기
10대,2,마무리운동,정적 스트레칭  루틴프로그램
10대,2,마무리운동,온 몸 뻗어주기
10대,2,마무리운동,복식호흡
10대,2,마무리운동,모관운동
10대,2,마무리운동,동적 스트레칭 루틴프로그램
10대,3,본운동,맨몸운동  루틴프로그램
10대,3,본운동,자전거타기
10대,3,본운동,줄넘기 운동
10대,3,본운동,수영
10대,3,본운동,조깅
10대,3,준비운동,동적 스트레칭 루틴프로그램
10대,3,준비운동,목 돌리기
10대,3,준비운동,몸통 비틀기
10대,3,준비운동,양발 벌려 무릎 밀어내기
10대,3,준비운동,시소우
10대,3,마무리운동,정적 스트레칭  루틴프로그램
10대,3,마무리운동,복식호흡
10대,3,마무리운동,온 몸 뻗어주기
10대,3,마무리운동,모관운동
10대,3,마무리운동,짝 스트레칭  루틴프로그램
10대,4,본운동,줄넘기 운동
10대,4,본운동,맨몸운동  루틴프로그램
10대,4,본운동,조깅
10대,4,본운동,버피 테스트
10대,4,본운동,전완대고 버티기
10대,4,준비운동,동적 스트레칭 루틴프로그램
10대,4,준비운동,몸통 비틀기
10대,4,준비운동,팔꿈치 원 그리기
10대,4,준비운동,정적 스트레칭  루틴프로그램
10대,4,준비운동,목 돌리기
10대,4,마무리운동,복식호흡
10대,4,마무리운동,정적 스트레칭  루틴프로그램
10대,4,마무리운동,동적 스트레칭 루틴프로그램
10대,4,마무리운동,온 몸 뻗어주기
10대,4,마무리운동,모관운동
